,date,temperature,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,bpm
57,2022-04-22,-3.024933411331277,79,22,17,40,103,55,0.0725075528700906,69.1730959446093
58,2022-04-22,-3.024933411331277,79,22,17,40,103,55,0.0725075528700906,54.80952380952381
59,2022-03-29,-1.8743831883080435,66,17,17,32,57,57,0.0869565217391304,56.8913813459268
60,2022-03-29,-1.8743831883080435,66,17,17,32,57,57,0.0869565217391304,64.00729927007299
61,2022-04-20,-2.40921523309528,79,23,14,42,117,53,0.0726915520628683,66.64451619622956
62,2022-04-20,-2.40921523309528,79,23,14,42,117,53,0.0726915520628683,61.73478260869565
63,2022-04-08,-2.886602919738896,82,21,22,39,68,61,0.0764904386951631,67.897842577086
64,2022-04-08,-2.886602919738896,82,21,22,39,68,61,0.0764904386951631,65.28947368421052
65,2022-03-01,-2.661022279430458,83,21,20,42,67,58,0.0467587672688629,70.76250341623394
66,2022-03-01,-2.661022279430458,83,21,20,42,67,58,0.0467587672688629,62.01918976545842
67,2022-03-15,-0.43809725158562135,70,21,15,34,79,57,0.0935799782372143,59.37802197802198
68,2022-03-15,-0.43809725158562135,70,21,15,34,79,57,0.0935799782372143,63.00577046377431
69,2022-01-04,-2.431360330743182,81,22,21,38,91,62,0.0652883569096844,70.00394477317555
70,2022-01-04,-2.431360330743182,81,22,21,38,91,62,0.0652883569096844,75.81037694013304
71,2022-01-10,-1.9085858809893466,84,21,22,41,62,63,0.0557851239669421,62.38255033557047
72,2022-01-10,-1.9085858809893466,84,21,22,41,62,63,0.0557851239669421,69.01273126946327
73,2022-06-18,-1.0454144192926085,76,21,17,38,43,58,0.0639053254437869,70.56554835071891
74,2022-01-11,-2.085422515300454,73,17,21,35,77,61,0.0671563483735571,66.32316076294278
75,2022-01-11,-2.085422515300454,73,17,21,35,77,61,0.0671563483735571,64.03887688984881
76,2022-01-05,-2.248282070974966,72,21,15,36,58,60,0.061923583662714,64.67283950617283
77,2022-01-05,-2.248282070974966,72,21,15,36,58,60,0.061923583662714,72.35022327531213
78,2022-03-14,0.418490604996908,83,20,21,42,86,58,0.0681114551083591,56.87676508344031
79,2022-03-14,0.418490604996908,83,20,21,42,86,58,0.0681114551083591,64.68932038834951
80,2022-04-09,-3.0502796940175405,74,17,17,40,54,58,0.1097922848664688,67.65676534869858
81,2022-04-09,-3.0502796940175405,74,17,17,40,54,58,0.1097922848664688,65.12592592592593
82,2022-03-28,-2.877362197784283,77,21,19,37,59,57,0.0617678381256656,66.69153793840474
83,2022-03-28,-2.877362197784283,77,21,19,37,59,57,0.0617678381256656,63.476093591047814
84,2022-04-21,-3.2866685845212125,76,21,14,41,68,55,0.0557103064066852,67.87470997679814
85,2022-04-21,-3.2866685845212125,76,21,14,41,68,55,0.0557103064066852,70.4047752494115
86,2022-05-06,-2.7197252525252567,68,16,19,33,81,58,0.095512082853855,59.042345276872965
87,2022-05-06,-2.7197252525252567,68,16,19,33,81,58,0.095512082853855,63.09704104358893
88,2022-05-12,-3.188438890114868,73,20,13,40,67,55,0.0817916260954235,55.91995614035088
89,2022-05-12,-3.188438890114868,73,20,13,40,67,55,0.0817916260954235,72.11457664434455
90,2021-12-16,-2.1216480140334,82,21,19,42,74,60,0.0544290288153681,72.36361173814899
91,2021-12-16,-2.1216480140334,82,21,19,42,74,60,0.0544290288153681,72.45991561181435
92,2022-02-27,-2.190631518151156,72,20,14,38,63,56,0.0925925925925925,66.94175363482294
93,2022-02-27,-2.190631518151156,72,20,14,38,63,56,0.0925925925925925,54.46666666666667
94,2021-12-17,-2.38701213818861,72,18,20,34,58,61,0.0815558343789209,61.73913043478261
95,2021-12-17,-2.38701213818861,72,18,20,34,58,61,0.0815558343789209,71.51328976034858
96,2022-05-13,-2.894319286966346,77,21,21,35,92,57,0.0867293625914315,53.63064008394544
97,2022-05-13,-2.894319286966346,77,21,21,35,92,57,0.0867293625914315,63.42400528003017
98,2022-05-07,-2.8551739372634892,79,19,20,40,66,56,0.0650485436893203,62.451219512195124
99,2022-05-07,-2.8551739372634892,79,19,20,40,66,56,0.0650485436893203,67.15824365872406
