sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
35005450675,2021-12-22T07:59:30Z,74,17,19,38,54,62,0.07915273132664437
34993176207,2021-12-21T07:56:30Z,78,20,21,37,74,62,0.08783068783068783
34982875349,2021-12-20T08:10:30Z,79,21,21,37,80,63,0.12263300270513977
34970534744,2021-12-19T07:57:30Z,71,21,15,35,80,61,0.0821917808219178
34959894841,2021-12-18T08:28:30Z,82,19,19,44,61,61,0.121131741821397
34947778364,2021-12-17T07:42:30Z,72,18,20,34,58,61,0.08155583437892096
34936301979,2021-12-16T07:44:30Z,82,21,19,42,74,60,0.054429028815368194
34921663398,2021-12-15T07:15:30Z,73,18,13,42,50,59,0.07543103448275862
34909111677,2021-12-14T08:07:30Z,69,20,13,36,53,57,0.09337676438653637
34898579413,2021-12-13T08:05:30Z,75,17,21,37,76,58,0.08135593220338982
34886863796,2021-12-12T09:30:30Z,85,20,21,44,92,60,0.0857392825896763
34875296420,2021-12-11T09:59:00Z,68,17,18,33,78,60,0.11079943899018233
34863544321,2021-12-10T08:39:30Z,83,21,19,43,132,61,0.1097666378565255
34849468006,2021-12-09T07:54:30Z,78,21,18,39,63,62,0.0966824644549763
